Iterations,Algorithm,Train Accuracy,Test Accuracy,F1 Score
1,random_hill_climb,0.521415270018622,0.49783549783549785,0.38947368421052625
101,random_hill_climb,0.6089385474860335,0.6190476190476191,0.4358974358974359
201,random_hill_climb,0.7411545623836127,0.7056277056277056,0.5342465753424657
301,random_hill_climb,0.7653631284916201,0.7272727272727273,0.5190839694656489
401,random_hill_climb,0.7839851024208566,0.7532467532467533,0.6013986013986014
501,random_hill_climb,0.7914338919925512,0.7445887445887446,0.593103448275862
601,random_hill_climb,0.7914338919925512,0.7229437229437229,0.5675675675675677
701,random_hill_climb,0.7951582867783985,0.7359307359307359,0.5793103448275863
801,random_hill_climb,0.7932960893854749,0.7316017316017316,0.5507246376811594
901,random_hill_climb,0.8044692737430168,0.7316017316017316,0.5507246376811594
1001,random_hill_climb,0.8026070763500931,0.7359307359307359,0.5611510791366906
1101,random_hill_climb,0.8081936685288641,0.7445887445887446,0.5755395683453237
1201,random_hill_climb,0.813780260707635,0.7359307359307359,0.5547445255474452
1301,random_hill_climb,0.819366852886406,0.7489177489177489,0.573529411764706
1401,random_hill_climb,0.8100558659217877,0.7532467532467533,0.5777777777777778
1501,random_hill_climb,0.813780260707635,0.7489177489177489,0.5671641791044777
1601,random_hill_climb,0.8119180633147114,0.7445887445887446,0.5693430656934306
1701,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
1801,random_hill_climb,0.8119180633147114,0.7575757575757576,0.582089552238806
1901,random_hill_climb,0.8175046554934823,0.7402597402597403,0.5652173913043478
2001,random_hill_climb,0.8175046554934823,0.7402597402597403,0.5588235294117648
2101,random_hill_climb,0.8175046554934823,0.7445887445887446,0.562962962962963
2201,random_hill_climb,0.8175046554934823,0.7445887445887446,0.5693430656934306
2301,random_hill_climb,0.8175046554934823,0.7445887445887446,0.5693430656934306
2401,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
2501,random_hill_climb,0.8156424581005587,0.7489177489177489,0.573529411764706
2601,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
2701,random_hill_climb,0.8119180633147114,0.7445887445887446,0.5693430656934306
2801,random_hill_climb,0.8156424581005587,0.7445887445887446,0.5693430656934306
2901,random_hill_climb,0.8119180633147114,0.7489177489177489,0.573529411764706
1,simulated_annealing,0.521415270018622,0.4935064935064935,0.38743455497382195
101,simulated_annealing,0.5195530726256983,0.5064935064935064,0.4
201,simulated_annealing,0.4748603351955307,0.43722943722943725,0.38679245283018865
301,simulated_annealing,0.4934823091247672,0.45021645021645024,0.4147465437788019
401,simulated_annealing,0.4823091247672253,0.45021645021645024,0.42533936651583715
501,simulated_annealing,0.5605214152700186,0.5411255411255411,0.5092592592592593
601,simulated_annealing,0.6443202979515829,0.6147186147186147,0.5240641711229946
701,simulated_annealing,0.6871508379888268,0.6536796536796536,0.5652173913043479
801,simulated_annealing,0.7262569832402235,0.7142857142857143,0.5925925925925926
901,simulated_annealing,0.7374301675977654,0.670995670995671,0.5777777777777777
1001,simulated_annealing,0.7541899441340782,0.6926406926406926,0.5798816568047337
1101,simulated_annealing,0.7597765363128491,0.7056277056277056,0.5952380952380953
1201,simulated_annealing,0.7579143389199255,0.70995670995671,0.5786163522012578
1301,simulated_annealing,0.7374301675977654,0.6926406926406926,0.5696969696969698
1401,simulated_annealing,0.7523277467411545,0.7229437229437229,0.5897435897435898
1501,simulated_annealing,0.7635009310986964,0.7316017316017316,0.5866666666666667
1601,simulated_annealing,0.7635009310986964,0.7359307359307359,0.6013071895424836
1701,simulated_annealing,0.7877094972067039,0.7402597402597403,0.6
1801,simulated_annealing,0.776536312849162,0.7142857142857143,0.576923076923077
1901,simulated_annealing,0.7932960893854749,0.7142857142857143,0.5217391304347826
2001,simulated_annealing,0.7914338919925512,0.7056277056277056,0.5466666666666666
2101,simulated_annealing,0.7839851024208566,0.7229437229437229,0.5492957746478873
2201,simulated_annealing,0.7802607076350093,0.7142857142857143,0.5217391304347826
2301,simulated_annealing,0.7672253258845437,0.70995670995671,0.5838509316770185
2401,simulated_annealing,0.7839851024208566,0.7012987012987013,0.5766871165644172
2501,simulated_annealing,0.7877094972067039,0.70995670995671,0.5314685314685313
2601,simulated_annealing,0.7858472998137802,0.6796536796536796,0.47887323943661975
2701,simulated_annealing,0.7988826815642458,0.7056277056277056,0.5072463768115942
2801,simulated_annealing,0.7895716945996276,0.683982683982684,0.5290322580645161
2901,simulated_annealing,0.8100558659217877,0.6926406926406926,0.48175182481751827
1,genetic_alg,0.6424581005586593,0.658008658008658,0.07058823529411765
101,genetic_alg,0.7728119180633147,0.7316017316017316,0.5921052631578947
201,genetic_alg,0.7914338919925512,0.7359307359307359,0.5793103448275863
301,genetic_alg,0.7895716945996276,0.7359307359307359,0.5734265734265734
401,genetic_alg,0.7970204841713222,0.7272727272727273,0.5655172413793104
501,genetic_alg,0.7914338919925512,0.7489177489177489,0.591549295774648
601,genetic_alg,0.7914338919925512,0.7489177489177489,0.591549295774648
