Iteration,Algorithm,Fitness,Time
0,random_hill_climb,58.0,0.0039751529693603516
0,simulated_annealing,47.0,0.0003218650817871094
10,random_hill_climb,61.0,0.04483985900878906
10,simulated_annealing,51.0,0.005459308624267578
20,random_hill_climb,64.0,0.07285666465759277
20,simulated_annealing,61.0,0.0092620849609375
30,random_hill_climb,65.0,0.09072494506835938
30,simulated_annealing,61.0,0.012552976608276367
40,random_hill_climb,70.0,0.1199488639831543
40,simulated_annealing,63.0,0.015855073928833008
50,random_hill_climb,75.0,0.16779375076293945
50,simulated_annealing,71.0,0.0204312801361084
60,random_hill_climb,77.0,0.17747187614440918
60,simulated_annealing,71.0,0.023906230926513672
70,random_hill_climb,79.0,0.20642614364624023
70,simulated_annealing,73.0,0.027217864990234375
80,random_hill_climb,77.0,0.2378859519958496
80,simulated_annealing,73.0,0.030663013458251953
90,random_hill_climb,80.0,0.2625129222869873
90,simulated_annealing,75.0,0.03388023376464844
