Iterations,Algorithm,Train Accuracy,Test Accuracy,F1 Score
1,random_hill_climb,0.521415270018622,0.49783549783549785,0.38947368421052625
101,random_hill_climb,0.6089385474860335,0.6190476190476191,0.4358974358974359
201,random_hill_climb,0.7411545623836127,0.7056277056277056,0.5342465753424657
301,random_hill_climb,0.7653631284916201,0.7272727272727273,0.5190839694656489
401,random_hill_climb,0.7839851024208566,0.7532467532467533,0.6013986013986014
501,random_hill_climb,0.7914338919925512,0.7445887445887446,0.593103448275862
601,random_hill_climb,0.7914338919925512,0.7229437229437229,0.5675675675675677
701,random_hill_climb,0.7951582867783985,0.7359307359307359,0.5793103448275863
801,random_hill_climb,0.7932960893854749,0.7316017316017316,0.5507246376811594
901,random_hill_climb,0.8044692737430168,0.7316017316017316,0.5507246376811594
1001,random_hill_climb,0.8026070763500931,0.7359307359307359,0.5611510791366906
1101,random_hill_climb,0.8081936685288641,0.7445887445887446,0.5755395683453237
1201,random_hill_climb,0.813780260707635,0.7359307359307359,0.5547445255474452
1301,random_hill_climb,0.819366852886406,0.7489177489177489,0.573529411764706
1401,random_hill_climb,0.8100558659217877,0.7532467532467533,0.5777777777777778
1501,random_hill_climb,0.813780260707635,0.7489177489177489,0.5671641791044777
1601,random_hill_climb,0.8119180633147114,0.7445887445887446,0.5693430656934306
1701,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
1801,random_hill_climb,0.8119180633147114,0.7575757575757576,0.582089552238806
1901,random_hill_climb,0.8175046554934823,0.7402597402597403,0.5652173913043478
2001,random_hill_climb,0.8175046554934823,0.7402597402597403,0.5588235294117648
2101,random_hill_climb,0.8175046554934823,0.7445887445887446,0.562962962962963
2201,random_hill_climb,0.8175046554934823,0.7445887445887446,0.5693430656934306
2301,random_hill_climb,0.8175046554934823,0.7445887445887446,0.5693430656934306
2401,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
2501,random_hill_climb,0.8156424581005587,0.7489177489177489,0.573529411764706
2601,random_hill_climb,0.813780260707635,0.7445887445887446,0.5693430656934306
2701,random_hill_climb,0.8119180633147114,0.7445887445887446,0.5693430656934306
2801,random_hill_climb,0.8156424581005587,0.7445887445887446,0.5693430656934306
2901,random_hill_climb,0.8119180633147114,0.7489177489177489,0.573529411764706
3001,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3101,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3201,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3301,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3401,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3501,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3601,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3701,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3801,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
3901,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4001,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4101,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4201,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4301,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4401,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4501,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4601,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4701,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4801,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
4901,random_hill_climb,0.8119180633147114,0.7489177489177489,0.5797101449275361
