Iteration,Algorithm,Problem,Fitness,Time
0,random_hill_climb,Flip Flop,58.0,0.0033228397369384766
0,simulated_annealing,Flip Flop,47.0,0.0003337860107421875
0,genetic_alg,Flip Flop,47.0,0.05534696578979492
10,random_hill_climb,Flip Flop,61.0,0.0353846549987793
10,simulated_annealing,Flip Flop,51.0,0.004642963409423828
10,genetic_alg,Flip Flop,68.0,0.5789191722869873
20,random_hill_climb,Flip Flop,64.0,0.07021331787109375
20,simulated_annealing,Flip Flop,61.0,0.01163792610168457
20,genetic_alg,Flip Flop,72.0,1.3459258079528809
30,random_hill_climb,Flip Flop,65.0,0.09616804122924805
30,simulated_annealing,Flip Flop,61.0,0.012663841247558594
30,genetic_alg,Flip Flop,72.0,1.871506929397583
40,random_hill_climb,Flip Flop,70.0,0.12015700340270996
40,simulated_annealing,Flip Flop,63.0,0.016198158264160156
40,genetic_alg,Flip Flop,75.0,2.2175867557525635
50,random_hill_climb,Flip Flop,75.0,0.15171289443969727
50,simulated_annealing,Flip Flop,71.0,0.020781993865966797
50,genetic_alg,Flip Flop,78.0,2.9756669998168945
60,random_hill_climb,Flip Flop,77.0,0.19057583808898926
60,simulated_annealing,Flip Flop,71.0,0.02795100212097168
60,genetic_alg,Flip Flop,82.0,3.2585690021514893
70,random_hill_climb,Flip Flop,79.0,0.2082219123840332
70,simulated_annealing,Flip Flop,73.0,0.027652978897094727
70,genetic_alg,Flip Flop,86.0,3.7979559898376465
80,random_hill_climb,Flip Flop,77.0,0.234130859375
80,simulated_annealing,Flip Flop,73.0,0.031059980392456055
80,genetic_alg,Flip Flop,88.0,4.355391025543213
90,random_hill_climb,Flip Flop,80.0,0.26360201835632324
90,simulated_annealing,Flip Flop,75.0,0.03366494178771973
90,genetic_alg,Flip Flop,88.0,5.215156078338623
0,random_hill_climb,One Max,64.0,0.0003688335418701172
0,simulated_annealing,One Max,49.0,2.09808349609375e-05
0,genetic_alg,One Max,49.0,0.0026428699493408203
10,random_hill_climb,One Max,67.0,0.002431154251098633
10,simulated_annealing,One Max,56.0,0.0002799034118652344
10,genetic_alg,One Max,78.0,0.09847593307495117
20,random_hill_climb,One Max,68.0,0.004412174224853516
20,simulated_annealing,One Max,60.0,0.0005271434783935547
20,genetic_alg,One Max,93.0,0.22317075729370117
30,random_hill_climb,One Max,71.0,0.005835056304931641
30,simulated_annealing,One Max,60.0,0.0008909702301025391
30,genetic_alg,One Max,99.0,0.31450700759887695
40,random_hill_climb,One Max,76.0,0.007843971252441406
40,simulated_annealing,One Max,61.0,0.0009930133819580078
40,genetic_alg,One Max,100.0,0.409696102142334
50,random_hill_climb,One Max,77.0,0.00987696647644043
50,simulated_annealing,One Max,62.0,0.001329183578491211
50,genetic_alg,One Max,100.0,0.5095999240875244
60,random_hill_climb,One Max,78.0,0.011796951293945312
60,simulated_annealing,One Max,64.0,0.0014729499816894531
60,genetic_alg,One Max,100.0,0.5901618003845215
70,random_hill_climb,One Max,79.0,0.01739811897277832
70,simulated_annealing,One Max,65.0,0.002045869827270508
70,genetic_alg,One Max,100.0,0.7084629535675049
80,random_hill_climb,One Max,83.0,0.015875816345214844
80,simulated_annealing,One Max,69.0,0.002048969268798828
80,genetic_alg,One Max,100.0,0.8322830200195312
90,random_hill_climb,One Max,85.0,0.017219066619873047
90,simulated_annealing,One Max,72.0,0.0021529197692871094
90,genetic_alg,One Max,100.0,0.9295458793640137
